Day,Deaths_cum,Deaths_daily
2/29/20,1,1
3/1/20,1,0
3/2/20,6,5
3/3/20,7,1
3/4/20,11,4
3/5/20,12,1
3/6/20,14,2
3/7/20,17,3
3/8/20,21,4
3/9/20,22,1
3/10/20,28,6
3/11/20,36,8
3/12/20,40,4
3/13/20,47,7
3/14/20,54,7
3/15/20,63,9
3/16/20,85,22
3/17/20,108,23
3/18/20,118,10
3/19/20,200,82
3/20/20,244,44
3/21/20,307,63
3/22/20,417,110
3/23/20,553,136
3/24/20,778,225
3/25/20,1027,249
3/26/20,1209,182
3/27/20,1581,372
3/28/20,2026,445
3/29/20,2467,441
3/30/20,2978,511
3/31/20,3873,895
4/1/20,4757,884
4/2/20,5926,1169
4/3/20,7087,1161
4/4/20,8407,1320
4/5/20,9619,1212
4/6/20,10783,1164
4/7/20,12722,1939
4/8/20,14695,1973
4/9/20,16478,1783
4/10/20,18586,2108
4/11/20,20463,1877
4/12/20,22020,1557
